word,count
geospatial,12
analysis,11
government,6
land,6
making,6
decision,4
governments,4
information,4
planning,4
resource,4
different,3
essential,3
example,3
feasibility,3
gis,3
help,3
wide,3
analyses,2
aspects,2
conditions,2
contamination,2
countries,2
data,2
department,2
industrial,2
inform,2
key,2
living,2
location,2
management,2
methods,2
new,2
policy,2
produce,2
products,2
public,2
purpose,2
quality,2
regarding,2
region,2
resources,2
study,2
suitability,2
surrounding,2
useful,2
well,2
with,2
within,2
workflow,2
world,2
acknowledging,1
across,1
activities,1
agricultural,1
aid,1
air,1
all,1
analytical,1
apart,1
applications,1
applied,1
appropriate,1
array,1
ascertain,1
ascertaining,1
audience,1
avenues,1
beneficial,1
better,1
bridge,1
british,1
build,1
citizens,1
collects,1
columbia,1
conducted,1
conducting,1
congestion,1
conservative,1
construction,1
contexts,1
convey,1
create,1
crown,1
cultural,1
dam,1
decide,1
decisions,1
definitions,1
degraded,1
demands,1
departments,1
disposal,1
distort,1
dynamics,1
easily,1
economic,1
emphasis,1
environment,1
environmental,1
especially,1
extent,1
extraction,1
forecasting,1
from,1
function,1
further,1
geographic,1
geoportal,1
great,1
hand,1
highly,1
hospitals,1
illustrates,1
implemented,1
importance,1
important,1
improve,1
improvements,1
including,1
integrates,1
interests,1
involvement,1
issue,1
landuse,1
level,1
limited,1
lines,1
lives,1
locally,1
locations,1
make,1
managing,1
mentions,1
meteorological,1
modeling,1
modelled,1
monitor,1
monitoring,1
multiple,1
multitude,1
nation,1
natural,1
nature,1
need,1
needs,1
offers,1
open,1
other,1
overall,1
owned,1
particularly,1
placed,1
politics,1
positioned,1
power,1
powerful,1
problems,1
processes,1
programmatically,1
providing,1
provincial,1
radar,1
recognising,1
recreational,1
reduce,1
related,1
remains,1
remote,1
reproducibility,1
responsible,1
results,1
same,1
scheduled,1
schools,1
science,1
sectors,1
sensing,1
serves,1
since,1
smaller,1
spatial,1
specialized,1
specific,1
stations,1
strategic,1
structures,1
suitable,1
tax,1
tend,1
them,1
themselves,1
tool,1
traffic,1
transit,1
transportation,1
transportations,1
treatment,1
trying,1
understanding,1
upon,1
urban,1
usages,1
utilize,1
valid,1
vary,1
view,1
visual,1
waste,1
way,1
widely,1
wider,1
worldwide,1
