word,count
data,35
government,26
open,20
people,15
public,15
transparency,13
we,8
science,7
citizens,6
develop,6
information,6
openness,6
own,6
political,6
trust,6
access,5
community,4
countries,4
democratic,4
economic,4
time,4
able,3
allow,3
increasing,3
make,3
many,3
need,3
only,3
organizations,3
provide,3
related,3
serve,3
users,3
allowing,2
become,2
collaborate,2
commitment,2
conspiracy,2
could,2
demanding,2
different,2
diverse,2
does,2
easily,2
effective,2
efficiency,2
environment,2
examine,2
example,2
find,2
focus,2
geospatial,2
help,2
improve,2
interconnected,2
internet,2
knowledge,2
legitimacy,2
live,2
local,2
model,2
national,2
new,2
participatory,2
products,2
profit,2
reproducibility,2
reproducing,2
researchers,2
right,2
same,2
scandal,2
seeing,2
skills,2
social,2
society,2
source,2
studies,2
tend,2
variety,2
without,2
world,2
abilities,1
account,1
accountable,1
accurate,1
active,1
adapting,1
address,1
administration,1
advancement,1
after,1
aggregation,1
air,1
ambiguity,1
analyze,1
another,1
answer,1
any,1
approaches,1
armed,1
around,1
authority,1
authors,1
available,1
avoid,1
based,1
before,1
believe,1
benefit,1
benefitical,1
benefits,1
best,1
between,1
body,1
boom,1
brain,1
brainpower,1
brings,1
budget,1
build,1
building,1
built,1
business,1
bust,1
campaign,1
canada,1
categories,1
ceo,1
certain,1
challenges,1
chance,1
choices,1
citizen,1
coincide,1
collaboration,1
communicate,1
communicating,1
communication,1
companies,1
comphrehensive,1
comprehensive,1
conclusions,1
condition,1
confident,1
connections,1
contribution,1
costs,1
creating,1
creative,1
critical,1
customer,1
cycles,1
decisions,1
decline,1
democracy,1
demonstrate,1
desire,1
difficult,1
digitized,1
directed,1
direction,1
disparity,1
distance,1
divide,1
division,1
down,1
drawbacks,1
drawing,1
due,1
ease,1
easier,1
easy,1
ecosystem,1
edmund,1
educate,1
effectively,1
efforts,1
either,1
emerging,1
emphasis,1
enhance,1
entirely,1
environmental,1
equips,1
especially,1
establish,1
etc,1
ever,1
exist,1
expect,1
expectations,1
expertise,1
facilitated,1
faith,1
fed,1
few,1
flow,1
friendly,1
gathered,1
geography,1
getting,1
globalization,1
good,1
governmental,1
growing,1
hand,1
having,1
health,1
heterogenous,1
hiding,1
higher,1
highlighted,1
historically,1
housing,1
ideaworks,1
importance,1
important,1
increase,1
increasingly,1
inefficient,1
informed,1
initiative,1
innovation,1
input,1
insight,1
institutions,1
intellectual,1
interest,1
interests,1
interpretation,1
justification,1
keep,1
kept,1
know,1
land,1
large,1
last,1
launched,1
layperson,1
leaders,1
least,1
less,1
level,1
life,1
like,1
lives,1
lot,1
low,1
magnitude,1
main,1
makes,1
managing,1
mapping,1
matter,1
meaningful,1
meaningless,1
member,1
might,1
mistrust,1
models,1
most,1
move,1
much,1
my,1
near,1
neatly,1
necessary,1
needed,1
needing,1
needs,1
newfound,1
no,1
nothing,1
novel,1
observation,1
one,1
onemap,1
opening,1
openly,1
operation,1
operational,1
opinion,1
opportunity,1
orders,1
organization,1
organizing,1
overall,1
part,1
participants,1
participate,1
parts,1
path,1
pay,1
perspective,1
places,1
point,1
policies,1
policy,1
politician,1
poor,1
popularity,1
potential,1
power,1
powerful,1
practices,1
presence,1
price,1
problem,1
promote,1
protocols,1
provided,1
provides,1
providing,1
purposeless,1
purposes,1
put,1
quality,1
questionable,1
ranks,1
raw,1
re,1
realized,1
reason,1
recent,1
recognising,1
recognition,1
relying,1
requires,1
research,1
resources,1
restore,1
results,1
reuse,1
rich,1
rid,1
rising,1
role,1
running,1
saving,1
say,1
scientists,1
score,1
secrecy,1
secrets,1
security,1
see,1
seems,1
sense,1
services,1
shahab,1
sharing,1
shift,1
sight,1
singapore,1
slightly,1
solutions,1
someone,1
sources,1
spatial,1
spent,1
stagnating,1
standard,1
stood,1
strong,1
students,1
study,1
supposed,1
surpassed,1
surrounding,1
system,1
taking,1
talking,1
taxes,1
technical,1
technological,1
technologists,1
technology,1
theories,1
theorists,1
thing,1
thinks,1
those,1
though,1
thresholds,1
through,1
thus,1
tools,1
top,1
towards,1
training,1
trend,1
trusted,1
truthful,1
turns,1
unique,1
university,1
update,1
usable,1
user,1
using,1
ve,1
vein,1
very,1
wages,1
waste,1
way,1
website,1
when,1
where,1
while,1
why,1
willingness,1
wisely,1
witnessed,1
workplace,1
year,1
